object_level,segment,family,product_or_example,snapshot_status,cpu,gpu_npu_media,process_memory,io_and_connectivity,evidence_ids,notes
platform,PC,Snapdragon X2,Snapdragon X2 Elite Extreme,"正式发布；2026 终端阶段","第三代 Oryon；具体核心与频率按零件号","Adreno；Hexagon NPU 官方系列口径 80 TOPS","3 nm；LPDDR5x；具体位宽按 SKU","双 PCIe 5.0 等能力按产品简报；蜂窝依设备选配","Q005 Q006","平台名不等于单一 SKU"
platform,PC,Snapdragon X2,Snapdragon X2 Elite,"正式发布；2026 终端阶段","第三代 Oryon；具体核心与频率按零件号","Adreno；Hexagon NPU 官方系列口径 80 TOPS","3 nm；LPDDR5x","PCIe/USB/无线由具体 SKU 和 OEM 实现","Q005 Q006 Q018","发布日、预计可用与设备上市分开"
platform,PC,Snapdragon X2,Snapdragon X2 Plus,"官方产品页 Active","第三代 Oryon；以产品页 SKU 为准","Adreno；Hexagon NPU","以产品页为准","平台能力不代表每台设备均含 5G","Q007 Q018","主流层级"
platform,PC,Snapdragon X,Snapdragon X Elite,"已出货平台","第一代 Oryon","Adreno；Hexagon NPU 45 TOPS 平台口径","4 nm；LPDDR5x","USB4/PCIe/可选 5G 依终端","Q008 Q018","OEM 散热和内存决定稳态"
platform,PC,Snapdragon X,Snapdragon X Plus,"已出货平台","第一代 Oryon；多 SKU","Adreno；Hexagon NPU","4 nm；LPDDR5x","依具体 SKU/OEM","Q009 Q018","不能从 Plus 名称推断固定核心数"
platform,PC,Snapdragon 8cx,Snapdragon 8cx Gen 3,"历史/既有产品","Kryo","Adreno；Hexagon/AI Engine","5 nm；LPDDR4x","5G 与 Wi-Fi 能力依设计","Q010","Oryon 前高端 PC 基线"
platform,PC,Snapdragon 8cx,Snapdragon 8cx Gen 2 5G,"历史/既有产品","Kryo","Adreno；Hexagon","7 nm；LPDDR4x","5G 常连接定位","Q011","非当前 X 系"
platform,PC,Snapdragon 8cx,Snapdragon 8cx,"历史产品","Kryo","Adreno；Hexagon","7 nm；LPDDR4x","平台 IO 按官方页","Q012","首代专用高端 PC 平台"
platform,PC,Snapdragon 7c,Snapdragon 7c+ Gen 3,"历史/既有入门","Kryo","Adreno；AI Engine","6 nm；LPDDR4x","5G/Wi-Fi 依终端","Q014","教育/入门定位"
platform,smartphone,Snapdragon 8,Snapdragon 8 Elite Gen 5,"Active","第三代 Oryon；最高 4.74 GHz","Adreno；Hexagon；三路 20-bit Spectra ISP","3 nm；64-bit 内存架构","X85；FastConnect 7900","Q019 Q020 Q038 Q039","最高值与 Qualcomm 自测代际百分比"
